Area,Region,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Housekeeping,Lisboa,Indeed,1418,398,346,454,744,2162,8,21.00,34.41
Reception,Madrid,link,8413,1872,430,418,2302,10715,43,3.90,21.48
Kitchen,Barcelona,link,5071,688,732,406,1420,6491,49,6.25,21.88
Reception,Barcelona,link,6024,1334,357,390,1691,7715,43,5.06,21.92
Waiting staff,Barcelona,link,4752,990,498,321,1488,6240,36,5.14,23.85
Waiting staff,Islas Baleares,link,8278,2397,871,307,3268,11546,40,2.66,28.30
Waiting staff,Islas Baleares,jooble,2748,684,349,307,1033,3781,40,8.12,27.32
Kitchen,Islas Baleares,link,11199,2482,657,304,3139,14338,62,2.12,21.89
Reception,Madrid,email,2790,525,649,293,1174,3964,43,7.39,29.62
Housekeeping,Barcelona,link,2957,610,185,293,795,3752,17,7.81,21.19
Kitchen,Islas Baleares,talent,3427,777,239,242,1016,4443,60,5.45,22.87
Waiting staff,Islas Baleares,talent,2948,788,189,233,977,3925,40,5.94,24.89
Housekeeping,Madrid,link,2256,283,181,231,464,2720,8,8.49,17.06
Waiting staff,Málaga,link,1936,547,162,221,709,2645,8,8.36,26.81
Housekeeping,Madrid,jooble,935,238,235,215,473,1408,8,15.27,33.59
Kitchen,Barcelona,talent,2689,662,177,204,839,3528,51,5.78,23.78
Reception,Madrid,jooble,2298,620,159,187,779,3077,43,6.08,25.32
Waiting staff,Valencia,talent,1158,305,163,186,468,1626,10,11.44,28.78
Housekeeping,Las Palmas,link,2552,733,460,178,1193,3745,28,4.75,31.86
Reception,Porto,Indeed,502,174,87,175,261,763,8,22.94,34.21
Maintenance,Islas Baleares,link,3057,1076,306,173,1382,4439,22,3.90,31.13
Waiting staff,Málaga,talent,1003,307,140,173,447,1450,8,11.93,30.83
Kitchen,Islas Baleares,email,1731,334,561,171,895,2626,62,6.51,34.08
Maintenance,Barcelona,link,2291,446,389,151,835,3126,23,4.83,26.71
Reception,Barcelona,jooble,1594,506,138,149,644,2238,43,6.66,28.78