Area,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Waiting staff,link,28649,6814,3571,1763,10385,39034,325,4.52,26.61
Kitchen,link,32852,7639,4828,1628,12467,45319,370,3.59,27.51
Housekeeping,link,17206,4416,2078,1470,6494,23700,154,6.20,27.40
Reception,link,28785,6574,1796,1438,8370,37155,279,3.87,22.53
Waiting staff,talent,11112,2715,1034,1216,3749,14861,300,8.18,25.23
Reception,email,10144,1783,3011,1055,4794,14938,273,7.06,32.09
Kitchen,talent,13239,2867,877,901,3744,16983,339,5.31,22.05
Waiting staff,jooble,9642,2313,947,901,3260,12902,308,6.98,25.27
Kitchen,email,7030,1223,2035,737,3258,10288,351,7.16,31.67
Waiting staff,email,7382,1207,1973,718,3180,10562,329,6.80,30.11
Housekeeping,jooble,6588,1852,847,686,2699,9287,146,7.39,29.06
Housekeeping,email,4485,781,1975,653,2756,7241,151,9.02,38.06
Reception,jooble,8544,2303,587,648,2890,11434,262,5.67,25.28
Maintenance,link,11393,3172,1287,626,4459,15852,138,3.95,28.13
Housekeeping,Indeed,2570,763,423,571,1186,3756,75,15.20,31.58
Reception,talent,7167,1678,463,531,2141,9308,258,5.70,23.00
Housekeeping,talent,5793,1301,457,457,1758,7551,153,6.05,23.28
Reception,Indeed,1484,380,146,310,526,2010,91,15.42,26.17
Kitchen,jooble,6788,1259,340,292,1599,8387,339,3.48,19.07
Maintenance,email,3502,708,935,282,1643,5145,136,5.48,31.93
Waiting staff,Indeed,2144,455,193,275,648,2792,99,9.85,23.21
Management,email,2230,293,709,245,1002,3232,97,7.58,31.00
Customer Service,link,4411,826,614,222,1440,5851,85,3.79,24.61
Maintenance,jooble,4152,858,250,213,1108,5260,126,4.05,21.06
Maintenance,talent,4455,904,212,166,1116,5571,130,2.98,20.03