City,Region,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Barcelona,Barcelona,link,22658,4610,1940,1562,6550,29208,228,5.35,22.43
Madrid,Madrid,link,22216,4190,1684,1087,5874,28090,151,3.87,20.91
Lisboa,Lisboa,Indeed,3489,883,539,702,1422,4911,52,14.29,28.96
Madrid,Madrid,email,6894,1140,1672,632,2812,9706,152,6.51,28.97
Barcelona,Barcelona,talent,7401,1755,530,590,2285,9686,228,6.09,23.59
Barcelona,Barcelona,email,6001,1053,1576,563,2629,8630,217,6.52,30.46
Madrid,Madrid,jooble,7822,1625,592,562,2217,10039,151,5.60,22.08
Palma de Mallorca,Islas Baleares,link,10820,2591,836,475,3427,14247,58,3.33,24.05
Madrid,Madrid,talent,6137,1190,385,444,1575,7712,150,5.76,20.42
Barcelona,Barcelona,jooble,6020,1736,423,386,2159,8179,221,4.72,26.40
Palma de Mallorca,Islas Baleares,talent,4242,1046,389,366,1435,5677,58,6.45,25.28
Sevilla,Sevilla,link,3495,828,574,350,1402,4897,26,7.15,28.63
Málaga,Málaga,link,3817,932,244,349,1176,4993,29,6.99,23.55
Lisboa,Lisboa,email,2187,270,844,316,1114,3301,53,9.57,33.75
Palma de Mallorca,Islas Baleares,email,2094,429,819,244,1248,3342,59,7.30,37.34
Palma de Mallorca,Islas Baleares,jooble,2778,684,247,239,931,3709,59,6.44,25.10
Málaga,Málaga,talent,1958,562,216,236,778,2736,29,8.63,28.44
Santa Cruz de Tenerife,Santa Cruz de Tenerife,link,2888,518,373,202,891,3779,50,5.35,23.58
Adeje,Santa Cruz de Tenerife,link,2978,426,504,199,930,3908,60,5.09,23.80
València,Valencia,link,2343,652,471,197,1123,3466,19,5.68,32.40
Sevilla,Sevilla,talent,1428,340,154,185,494,1922,24,9.63,25.70
Sevilla,Sevilla,email,1187,167,637,178,804,1991,26,8.94,40.38
València,Valencia,talent,1388,367,164,177,531,1919,19,9.22,27.67
Oporto,Porto,Indeed,1373,387,78,158,465,1838,23,8.60,25.30
Málaga,Málaga,email,937,221,411,157,632,1569,29,10.01,40.28