JobTitleDenomination,City,Region,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Housekeeping Staff,Lisboa,Lisboa,Indeed,929,266,238,351,504,1433,3,24.49,35.17
Receptionist,Madrid,Madrid,link,3664,758,239,226,997,4661,17,4.85,21.39
Chambermaid,Madrid,Madrid,link,2136,267,175,225,442,2578,6,8.73,17.15
Chambermaid,Madrid,Madrid,jooble,842,224,233,215,457,1299,6,16.55,35.18
Waiter,Málaga,Málaga,link,1296,313,146,195,459,1755,4,11.11,26.15
Waiter,Barcelona,Barcelona,link,2949,518,173,190,691,3640,15,5.22,18.98
Housekeeping Staff,Barcelona,Barcelona,link,1636,365,111,175,476,2112,4,8.29,22.54
Receptionist,Madrid,Madrid,email,1506,280,289,172,569,2075,17,8.29,27.42
Cook,Barcelona,Barcelona,link,1891,209,257,158,466,2357,15,6.70,19.77
Waiter,Málaga,Málaga,talent,679,222,117,136,339,1018,4,13.36,33.30
Waiter,València,Valencia,talent,814,236,117,132,353,1167,6,11.31,30.25
Host/Hostess,Lisbon,Arroios,Indeed,182,107,115,132,222,404,1,32.67,54.95
Receptionist,Barcelona,Barcelona,link,2374,489,100,122,589,2963,16,4.12,19.88
Chambermaid,Sevilla,Sevilla,link,304,59,248,111,307,611,2,18.17,50.25
Maintenance Technician,Barcelona,Barcelona,link,818,115,294,110,409,1227,9,8.96,33.33
Cook,Barcelona,Barcelona,talent,1215,311,73,109,384,1599,16,6.82,24.02
Bellboy,Madrid,Madrid,link,3118,861,110,106,971,4089,13,2.59,23.75
Receptionist,Madrid,Madrid,jooble,973,288,86,102,374,1347,17,7.57,27.77
Chambermaid,Barcelona,Barcelona,link,719,96,50,98,146,865,2,11.33,16.88
Kitchen Assistant,Barcelona,Barcelona,link,635,87,40,94,127,762,8,12.34,16.67
Chambermaid,Lisboa,Lisboa,Indeed,337,101,91,88,192,529,2,16.64,36.29
Waiter,València,Valencia,link,938,217,86,84,303,1241,6,6.77,24.42
Hotel Receptionist,Barcelona,Barcelona,link,788,166,22,84,188,976,7,8.61,19.26
Waiter,Madrid,Madrid,link,1549,112,46,77,158,1707,12,4.51,9.26
Receptionist,Lisboa,Lisboa,Indeed,282,94,38,77,132,414,7,18.60,31.88