JobTitleDenomination,Region,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Housekeeping Staff,Lisboa,Indeed,929,266,238,351,504,1433,3,24.49,35.17
Chambermaid,Madrid,link,2455,295,303,276,598,3053,7,9.04,19.59
Chambermaid,Madrid,jooble,986,247,257,236,504,1490,7,15.84,33.83
Receptionist,Madrid,link,3734,770,242,230,1012,4746,19,4.85,21.32
Waiter,Barcelona,link,3046,536,264,209,800,3846,17,5.43,20.80
Waiter,Málaga,link,1526,405,150,204,555,2081,5,9.80,26.67
Cook,Barcelona,link,2321,267,263,180,530,2851,18,6.31,18.59
Receptionist,Madrid,email,1536,297,300,179,597,2133,19,8.39,27.99
Waiter,Islas Baleares,jooble,1410,371,163,176,534,1944,13,9.05,27.47
Housekeeping Staff,Barcelona,link,1636,365,111,175,476,2112,4,8.29,22.54
Waiter,Valencia,talent,982,264,141,163,405,1387,8,11.75,29.20
Waiter,Málaga,talent,783,249,118,148,367,1150,5,12.87,31.91
Waiter,Islas Baleares,talent,1451,382,105,144,487,1938,13,7.43,25.13
Host/Hostess,Arroios,Indeed,182,107,115,132,222,404,1,32.67,54.95
Chambermaid,Málaga,link,1167,369,202,129,571,1738,7,7.42,32.85
Hotel Receptionist,Porto,Indeed,352,101,66,129,167,519,5,24.86,32.18
Chambermaid,Las Palmas,link,1452,573,339,125,912,2364,13,5.29,38.58
Cook,Barcelona,talent,1418,362,85,124,447,1865,19,6.65,23.97
Receptionist,Barcelona,link,2374,489,100,122,589,2963,16,4.12,19.88
Maintenance Technician,Barcelona,link,929,125,296,116,421,1350,10,8.59,31.19
Waiter,Islas Baleares,link,2822,650,229,116,879,3701,13,3.13,23.75
Chambermaid,Sevilla,link,304,59,248,111,307,611,2,18.17,50.25
GEX - Guest Experience Assistant,Santa Cruz de Tenerife,link,933,171,249,110,420,1353,18,8.13,31.04
Cook,Islas Baleares,link,3252,634,144,108,778,4030,13,2.68,19.31
Bellboy,Madrid,link,3118,861,110,106,971,4089,13,2.59,23.75