Region,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Barcelona,link,25241,5100,2318,1690,7418,32659,257,5.17,22.71
Madrid,link,23495,4584,1929,1186,6513,30008,164,3.95,21.70
Islas Baleares,link,38124,9485,2637,1176,12122,50246,280,2.34,24.13
Lisboa,Indeed,4287,1091,587,754,1678,5965,65,12.64,28.13
Madrid,email,7251,1220,1801,671,3021,10272,165,6.53,29.41
Islas Baleares,email,7573,1378,2179,659,3557,11130,279,5.92,31.96
Islas Baleares,talent,11970,2817,626,647,3443,15413,276,4.20,22.34
Barcelona,talent,8224,1918,560,639,2478,10702,257,5.97,23.15
Islas Baleares,jooble,9196,2086,709,638,2795,11991,279,5.32,23.31
Barcelona,email,6598,1155,1805,616,2960,9558,246,6.44,30.97
Málaga,link,8966,2455,802,605,3257,12223,70,4.95,26.65
Madrid,jooble,8311,1738,634,599,2372,10683,164,5.61,22.20
Las Palmas,link,12064,2964,1703,567,4667,16731,164,3.39,27.89
Santa Cruz de Tenerife,link,7695,1365,1574,545,2939,10634,147,5.13,27.64
Madrid,talent,6572,1296,407,474,1703,8275,163,5.73,20.58
Barcelona,jooble,6527,1815,453,407,2268,8795,250,4.63,25.79
Málaga,talent,3786,1009,328,381,1337,5123,70,7.44,26.10
Lisboa,email,2940,400,947,373,1347,4287,66,8.70,31.42
Sevilla,link,3626,854,582,352,1436,5062,28,6.95,28.37
Málaga,email,2092,448,982,346,1430,3522,70,9.82,40.60
Porto,Indeed,2154,597,165,288,762,2916,34,9.88,26.13
Las Palmas,jooble,5274,1185,307,287,1492,6766,164,4.24,22.05
Santa Cruz de Tenerife,jooble,5103,998,316,282,1314,6417,147,4.39,20.48
Valencia,link,3271,979,688,267,1667,4938,32,5.41,33.76
Valencia,talent,1977,472,211,237,683,2660,32,8.91,25.68