Sector,City,Region,Source,ListImpressions,DetailViews,PageVisits,Applications,TotalEngagements,TotalTouchpoints,UniqueOffers,ConversionRate,EngagementRate
Independent Hotel,Lisboa,Lisboa,Indeed,1935,538,410,510,948,2883,14,17.69,32.88
Not specified,Barcelona,Barcelona,link,7609,909,490,496,1399,9008,100,5.51,15.53
Hotel Chain,Madrid,Madrid,link,9312,2322,698,469,3020,12332,45,3.80,24.49
Hotel Chain,Barcelona,Barcelona,link,6083,1305,466,447,1771,7854,56,5.69,22.55
Hotel Chain,Palma de Mallorca,Islas Baleares,link,6655,1863,536,311,2399,9054,28,3.43,26.50
Not specified,Madrid,Madrid,link,6377,695,543,304,1238,7615,62,3.99,16.26
Hotel Chain,Palma de Mallorca,Islas Baleares,talent,2864,796,273,244,1069,3933,28,6.20,27.18
Hotel Chain,Madrid,Madrid,jooble,3309,892,282,230,1174,4483,45,5.13,26.19
Hotel Chain,Madrid,Madrid,email,2876,565,576,221,1141,4017,45,5.50,28.40
Hotel Chain,Barcelona,Barcelona,talent,2018,438,176,203,614,2632,55,7.71,23.33
Not specified,Barcelona,Barcelona,email,1910,241,493,203,734,2644,93,7.68,27.76
Hotel Chain,Madrid,Madrid,talent,2788,636,205,185,841,3629,45,5.10,23.17
Not specified,Madrid,Madrid,jooble,2194,293,143,182,436,2630,63,6.92,16.58
Hotel Chain,Barcelona,Barcelona,email,1765,314,433,170,747,2512,56,6.77,29.74
Not specified,Santa Cruz de Tenerife,Santa Cruz de Tenerife,link,2398,453,351,170,804,3202,43,5.31,25.11
Independent Hotel,Sevilla,Sevilla,link,1135,206,343,166,549,1684,5,9.86,32.60
Hotel Chain,València,Valencia,talent,1240,336,147,166,483,1723,15,9.63,28.03
Not specified,Madrid,Madrid,email,1352,148,463,161,611,1963,63,8.20,31.13
Hotel Chain,Adeje,Santa Cruz de Tenerife,link,2157,289,408,160,697,2854,42,5.61,24.42
Independent Hotel,Barcelona,Barcelona,link,2905,765,107,158,872,3777,22,4.18,23.09
Independent Hotel,Lisboa,Lisboa,email,905,136,457,157,593,1498,14,10.48,39.59
Hotel Chain,València,Valencia,link,1914,486,428,155,914,2828,15,5.48,32.32
Hotel Chain,Palma de Mallorca,Islas Baleares,jooble,1880,496,144,152,640,2520,29,6.03,25.40
Not specified,Barcelona,Barcelona,talent,2518,430,94,152,524,3042,102,5.00,17.23
Hotel Chain,Málaga,Málaga,link,1364,390,56,149,446,1810,7,8.23,24.64